Church,Organizations,People,Title,AccountLongName,CurrentValue,LastYearValue,InvestmentType
2165703,"","","SARDIS UMC","SARDIS UNITED METHODIST CHURCH CEMETERY FUND",43615.54,40289.3,CONSERV
2165704,"","","SKYLAND UMC ENDOW","SKYLAND UNITED METH CHURCH PERMANENT ENDOWMENT",764220.86,685967.77,DIVERSIFIE
2165712,"","","WEAVERVILLE UMC GENE","WEAVERVILLE UMC GENERAL ENDOWMENT",114194.19,100046.7,DIVERSIFIE
2165717,"","","PLEASANT GAP UMC","PLEASANT GAP UMC",97808.8,86673.66,"BAL FUND"
2165719,"","",CLARKWEAVERVILLE,"CLARK PERPETUAL ENDOWMENT FUND OF WEAVERVILLE UM",65740.91,65213.02,DIVERSIFIE
2165724,"","","ASBURY UMC HUNTERSV","ASBURY UMC CEMETERY FUND - HUNTERSVILLE",54057.97,46912.59,DIVERSIFIE
2165730,"","","UNION UMC WAXHAW","UNION UNITED METHODIST CHURCH",404492.1,398408.69,"DEVEL FD"
2165735,"","","BLAIR ROAD UMC","BLAIR ROAD UMC ENDOWMENT FUND KNOWN AS THE ""LEGACY FUND""",63695.33,58690.49,CONSERV
2165742,"","","DILWORTH JW PATTON","DILWORTH UMC JW PATTON ENDOWED EDUCATIONAL FUND",247594.61,219746.88,"BAL FUND"
2165745,"","","SOUTHPARK UMC HOOD","SOUTHPARK UMC CHARLOTTE HOOD MEMORIAL FUND",16302.87,14283.19,DIVERSIFIE
2165745,"","","SOUTHPARK UNDESIGN","SOUTHPARK UMC CHARLOTTE UNDESIGNATED FUND",55769.1,48859.93,DIVERSIFIE
2165747,"","","GRACE UMC BAL","GRACE UMC BALANCED OPTION",257045.05,236225.26,"BAL FUND"
2165749,"","","HAWTHORNE LANE WOMEN","UNITED METHODIST WOMEN OF HAWTHORNE LANE END UNITED METHODIST CHURCH",110381.08,101963,CONSERV
2165751,"","","ST STEPHEN UMC","ST. STEPHEN UMC",127767.19,106417.33,DIVERSIFIE
2165751,"","","ST STEPHENS CARPENT","ST STEPHEN UMC RON CARPENTER MEMORIAL FUND",14043.35,12044.13,DIVERSIFIE
2165756,"","","PROVIDENCE CHIPLEY","PROVIDENCE UNITED METHODIST CHURCH CHIPLEY BIBLE",27827.59,24269.92,DIVERSIFIE
2165756,"","","PROVIDENCE/ST JOHNS","PROVIDENCE UMC-ST JOHN'S MAJOR MAINTENANCE ACCT",19252.99,17010.05,"BAL FUND"
2165756,"","","PROVIDENCE ENDOW","PROVIDENCE UNITED METHODIST CHURCH ENDOWMENT",2045991.29,1950104.65,DIVERSIFIE
2165756,"","",PROVIDENCENURSERY,"PROVIDENCE UMC LOIS BROWN NURSERY FUND",13472.28,11749.66,DIVERSIFIE
2165756,"","","PROVIDENCE ROBINSON","PROVIDENCE UMC/TERESA & LEROY ROBINSON FUND",617177.35,538258.71,DIVERSIFIE
2165756,"","","PROVIDENCE BRAXTON","PROVIDENCE UMC KELLY DEATON BRAXTON ENDOWMENT",52183.72,44936.6,DIVERSIFIE
2165756,"","","PROVIDENCE COLUMBARI","PROVIDENCE UMC COLUMBARIUM FUND",167333.63,145936.71,DIVERSIFIE
2165756,"","","PROVIDENCE CRIGGER","PROVIDENCE UMC MATTHEW CRIGGER MEMORIAL ACCOUNT",7016.32,6119.18,DIVERSIFIE
2165756,"","","PROVIDENCE WILTON PA","PROVIDENCE UMC WILTON PARR MINISTRY ENDOWMENT",182958.02,159563.19,DIVERSIFIE
2165756,"","","PROVIDENCE OPERATION","PROVIDENCE UMC OPERATIONAL RESERVE ACCOUNT FUND",108831.97,69378.88,DIVERSIFIE
2165756,"","","PROVIDENCE/ST JOHNS","PROVIDENCE UMC-ST JOHN'S OPERATING RESERVE ACCT",54347.16,53529.8,"DEVEL FD"
2165758,"","","ASSURANCE UMC","ASSURANCE UMC DEVELOPMENT FUND",499536.78,392610.55,"DEVEL FD"
2165762,"","",SEDGEFIELDLEON,"SEDGEFIELD UMC LEON CASH BUILDING MAINTENANCE",495284.35,438395.93,DIVERSIFIE
2165762,"","",SEDGEFIELDPASTOR,"SEDGEFIELD UMC CHARLOTTE PASTOR'S HOUSING",127252.28,123587.95,DIVERSIFIE
2165762,"","","SEDGEFIELD MISSIONS","SEDGEFIELD UMC MISSIONS ENDOWMENT",4012.88,3507.11,DIVERSIFIE
2165762,"","","SEDGEFIELD PATTON","SEDGEFIELD UMC JIMMY PATTON EDUCATION ENDOWMENT",107890.09,94294.26,DIVERSIFIE
2165762,"","","SEDGEFIELD UMC STEPH","SEDGEFIELD UMC STEPHENSON FUND",77488.27,175747.27,"DEVEL FD"
2165762,"","","SEDGEFIELD UMC 2846","SEDGEFIELD UMC 2846 FUND",292856.04,333342.39,"DEVEL FD"
2165765,"","","ST ANDREWS UMC CHARL","ST. ANDREWS CHARLOTTE DEV FUND",58989.32,58102.15,"DEVEL FD"
2165767,"","","DAVIDSON ENDOWMENT","DAVIDSON UMC ENDOWMENT FUND",181330.53,145516.4,"ALL EQUITY"
2165767,"","","DAVIDSON RATLIFF","DAVIDSON UMC RATLIFF MISSIONS FUND",55570.76,46867.04,"ALL EQUITY"
2165767,"","","DAVIDSON LIBRARY","DAVIDSON UMC LIBRARY FUND",199354.77,167924.89,"ALL EQUITY"
2165767,"","","DAVIDSON UMC PARSON","DAVIDSON UMC PARSONAGE PROCEEDS FUND",948127.41,827832.14,DIVERSIFIE
2165767,"","","DAVIDSON UMC","DAVIDSON UNITED METHODIST CHURCH DEVELOPMENT",173538.78,170928.82,"DEVEL FD"
2165770,"","","HARRISON UMC","HARRISON UMC",163558.25,161098.39,"DEVEL FD"
2165779,"","","INDIAN TRAIL UMC BLD","INDIAN TRAIL UMC BUILDING DEVELOPMENT FUND",59765.55,44836.29,"DEVEL FD"
2165779,"","","INDIAN TRAIL UMC EMR","INDIAN TRAIL UMC EMERGENCY FUND",7278.69,4797.16,"DEVEL FD"
2165784,"","","MATTHEWS UMC UMW","MATTHEWS UMC - UMW",1812.99,1852.9,DIVERSIFIE
2165784,"","","MATTHEWS ENDOWMENT","MATTHEWS UMC ENDOWMENT FUND",0,21723.12,DIVERSIFIE
2165784,"","","MATTHEWS END GENRL","MATTHEWS UMC ENDOWMENT - GENERAL FUND",50242.72,16296.59,DIVERSIFIE
2165784,"","","MATTHEWS END MISSION","MATTHEWS UMC ENDOWMENT - MISSION FUND",6038.41,920.19,DIVERSIFIE
2165784,"","","MATTHEWS END CAPITAL","MATTHEWS UMC ENDOWMENT - CAPITAL IMPROVEMENTS",118146.19,4506.34,DIVERSIFIE
2165784,"","","MATTHEWS UMC OPERAT","MATTHEWS UMC OPERATING RESERVE FUND",134576.66,134808.59,"DEVEL FD"
2165784,"","","MATTHEWS UMC CAP RES","MATTHEWS UMC CAPITAL RESERVE FUND",12756.51,12778.49,"DEVEL FD"
2165789,"","","CENTRAL MONROE","CENTRAL UMC MONROE",281107.1,246280.68,DIVERSIFIE
2165789,"","","CENTRAL MON-HOWERT","CENTRAL UNITED METHODIST CHURCH/HOWERTON FUND",139318.38,122058.25,DIVERSIFIE
2165789,"","",CENTRALMONSTARNES,"CENTRAL UMC KERMIT D & JANIE R STARNES SCHOLARSHIP FUND",1183028.33,1073289.26,DIVERSIFIE
2165789,"","","CENTRAL UMC PASTOR","CENTRAL UMC MONROE PASTOR HOUSING FUND",196770.7,187027.86,DIVERSIFIE
2165797,"","","NEW HOPE UMC RESBLG","NEW HOPE UMC RESTRICTED BUILDING FUND",59342.89,52668.41,"BAL FUND"
2165797,"","","NEW HOPE ESTATE GIFT","NEW HOPE UMC ESTATE GIFT FUND",71108.15,62298.62,DIVERSIFIE
2165797,"","","NEW HOPE UMC PLAYGRN","NEW HOPE UMC PLAYGROUND, MUSIC AND CEMETERY FUND",9710.63,6257.71,"ALL EQUITY"
2165797,"","","NEW HOPE UMC UNRESTR","NEW HOPE UMC UNRESTRICTED BUILDING FUND",6118.78,5430.62,"BAL FUND"
2165800,"","","OAK GROVE UMC","OAK GROVE UNITED METHODIST CHURCH",21776.95,19079.08,DIVERSIFIE
2165802,"","","PINEVILLE UMC PROG","PINEVILLE UMC PROGRAM FUNDS",50093.04,43887.05,DIVERSIFIE
2165802,"","","PINEVILLE UMC BAKER","PINEVILLE UMC REBA BAKER SCHOLARSHIP FUND",13961.76,12232.1,DIVERSIFIE
2165807,"","","NEW MOUNT TABOR PARS","NEW MOUNT TABOR UMC PARSONAGE FUND",112955.68,111256.86,"DEVEL FD"
2165807,"","","NEW MOUNT TABOR CEM","NEW MOUNT TABOR UMC CEMETERY FUND",70428.65,70789.51,"DEVEL FD"
2165812,"","","UNIVERSITY CITY END","UNIVERSITY CITY UMC ENDOWMENT FUND",54334.12,35846.22,DIVERSIFIE
2165812,"","","UNIVERSITY CITY MIHA","UNIVERSITY CITY UMC KEVIN MIHALOVICH SCHOLARSHIP",433.72,1336.64,CONSERV
2165812,"","","UNIVERSITY CITY SYLV","UNIVERSITY CITY UMC CANDY SERRETT SYLVESTER SCHOLARSHIP FUND",10040.59,11089.54,CONSERV
2165816,"","","WEDDINGTON UMC","WEDDINGTON UNITED METHODIST CHURCH, INC PERPETUAL CARE CEMETERY FUND",81005.56,70969.84,DIVERSIFIE
2165823,"","","FUMC BELMONT ARMSTRO","FIRST UMC BELMONT ARMSTRONG MEMORIAL PREACHING FUND",15661.92,14237.32,DIVERSIFIE
2165823,"","","FUMC BELMONT WILLIAM","FIRST UMC BELMONT THE HEATHER BLAKE WILLIAMSON MEMORIAL FUND",17890.48,15179.91,DIVERSIFIE
2165823,"","","FIRST BELMONT CARPEN","FIRST UMC BELMONT LESTER CARPENTER ENDOWMENT FD",618153.74,561890.94,DIVERSIFIE
2165825,"","","PARK STREET UMC DIVE","PARK STREET UMC DIVERSIFIED",36515.82,31991.96,DIVERSIFIE
2165825,"","","PARK STREET UMC BAL","PARK STREET UMC BALANCED",36831.97,32689.43,"BAL FUND"
2165825,"","","PARK STREET UMC GENR","PARK STREET UMC GENERAL ENDOWMENT FUND",34094.48,6189.77,DIVERSIFIE
2165837,"","",KISTLERSUMC,"KISTLER'S UMC OF LAWNDALE",92203.47,84030.02,DIVERSIFIE
2165844,"","","PLEASANT GROVE UMC","PLEASANT GROVE UMC LINCOLNTON",21529.19,18862.03,DIVERSIFIE
2165846,"","","CROUSE UMC","CROUSE UNITED METHODIST CHURCH",137382.76,120362.43,DIVERSIFIE
2165848,"","","EL BETHEL UMC","EL BETHEL UMC DEVELOPMENT FUND",82407.55,79676.81,"DEVEL FD"
2165848,"","","EL BETHEL UMC","EL BETHEL UMC DEV FUND",10255.46,10101.23,"DEVEL FD"
2165866,"","","DENVER UMC","DENVER UMC",332410.51,291228.05,DIVERSIFIE
2165866,"","","DENVER UMC","DENVER UNITED METHODIST CHURCH DEV FUND",1036.89,1031.66,"DEVEL FD"
2165867,"","","ST FRANCIS UMC","ST FRANCIS UMC DEVELOPEMENT FUND",33951.05,33440.45,"DEVEL FD"
2165869,"","","ST MARKS BALANCED","ST MARK'S UMC BUILDING FUND/THE BALANCED FUND",388976.5,345227.03,"BAL FUND"
2165869,"","","ST MARKS DIVERSIFIED","ST MARK'S UMC BUILDING FUND/DIVERSIFIED FUND",66238.19,58032,DIVERSIFIE
2165870,"","","LEBANON PARSONAGE","LEBANON UMC PARSONAGE FUND",84512.21,78067,CONSERV
2165870,"","","LEBANON BUILDING FUN","LEBANON UMC BUILDING FUND",10082.92,9314.01,CONSERV
2165870,"","",LEBANONGENERAL,"LEBANON UNITED METHODIST CHURCH GENERAL FUND",49743.93,45950.31,CONSERV
2165872,"","","WEBBS CHAPEL UMC","WEBBS CHAPEL UMC CHURCH FUND",31459.53,27562.09,DIVERSIFIE
2165875,"","","ALDERSGATE ENDOW","ALDERSGATE UMC - ALDERSGATE ENDOWMENT FUND",598531.15,523082.61,DIVERSIFIE
2165875,"","","ALDERSGATE CAPITAL","ALDERSGATE UMC- CAPITAL REPLACEMENT FUND",8834.44,7720.83,DIVERSIFIE
2165875,"","","ALDERSGATE SCHOLARSH","ALDERSGATE UMC- SELF SCHOLARSHIP FUND",44944.72,40523.85,DIVERSIFIE
2165876,"","","CENTRAL SHELBY LEGAC","CENTRAL UMC SHELBY LEGACY FUND",1461652.04,1328754.9,DIVERSIFIE
2165876,"","","CENTRAL SHELBY OPER","CENTRAL UMC SHELBY OPERATING BUDGET FUND",125056.12,113685.98,DIVERSIFIE
2165876,"","","CENTRAL SHELBY BLDG","CENTRAL UMC SHELBY BUILDING FUND",125056.12,113685.98,DIVERSIFIE
2165876,"","","CENTRAL SHELBY PREAC","CENTRAL UMC SHELBY PREACHING TEACHING",138318.6,125742.63,DIVERSIFIE
2165879,"","",NEWCOVENANTUMC,"NEW COVENANT UNITED METHODIST CEMETARY FUND",0,24024.67,DIVERSIFIE
2165889,"","","MESSIAH UMC","MESSIAH UMC/PARISH NURSE PROGRAM",25081.79,21974.48,DIVERSIFIE
2165889,"","","MESSIAH UMC CEMETERY","MESSIAH UMC BETHEL CEMETERY FUND",42898.05,37583.43,DIVERSIFIE
2165890,"","","BETHLEHEM UMC GRADY","BETHLEHEM UMC OF CLIMAX, INC. HELEN GRADY ENDOWMENT FUND",51786.72,47800.15,DIVERSIFIE
2165896,"","","GETHSEMANE UMC","GETHSEMANE UMC CEMETERY MAINTENANCE ENDOWMENT",38856.33,34042.48,DIVERSIFIE
2165903,"","","CENTENARY UMC PITTS","CENTENARY UMC ELIZABETH M. PITTS MEMORIAL MUSIC",40641.96,36070.89,"BAL FUND"
2165903,"","","CENTENARY UMC HERBIN","CENTENARY /WILHELMINA M. HERBIN SCHOLARSHIP FUND",12225.38,10850.44,"BAL FUND"
2165903,"","","CENTENARY UMC PHIBBS","CENTENARY UMC-THE FLOSSIE & BILL PHIBBS MUSIC",75843.98,70278.49,"BAL FUND"
2165903,"","","CENTENARY UMC HUNTER","CENTENARY UMC-THE HUNTER TRUST FUND",106940.79,94912.8,"BAL FUND"
2165903,"","","CENTENARY UMC COLUMB","CENTENARY UMC COLUMBARIUM FUND",42615.65,39654.36,"BAL FUND"
2165903,"","","CENTENARY UMC KIMREY","CENTENARY UMC KIMREY CONTINGENCY DEV FUND",109989.09,157650.82,"DEVEL FD"
2165904,"","","CHRIST UMC","CHRIST UNITED METHODIST FOUNDATION GREENSBORO",542455.52,474560.99,DIVERSIFIE
2165904,"","","CHRIST UMC BUILDING","CHRIST UNITED METHODIST CHURCH ENDOWMENT FUND - BUILDINGS & GROUNDS ACCOUNT",30826.38,24890.74,DIVERSIFIE
2165904,"","","CHRIST UMC MISSIONS","CHRIST UNITED METHODIST CHURCH ENDOWMENT FUND MISSIONS ACCOUNT",41743.81,36481.84,DIVERSIFIE
2165904,"","","CHRIST UMC SCHOLARSH","CHRIST UNITED METHODIST CHURCH SCHOLARSHIP ACCOUNT",37045.31,32375.6,DIVERSIFIE
2165904,"","","CHRIST UMC BOWDEN","CHRIST UMC TIRZAH & RALPH BOWDEN FUND",130502.54,105936.27,"ALL EQUITY"
2165904,"","","CHRIST UMC ORGAN","CHRIST UMC ORGAN FUND",31990.18,27957.72,DIVERSIFIE
2165904,"","","CHRIST UMC FISK","CHRIST UMC ENDOWMENT FUND - FRIENDS OF THE FISK",34350.87,15879.01,DIVERSIFIE
2165904,"","","CHRIST UMC GREENSBOR","CHRIST UMC OF GREENSBORO",123509.37,123722.23,"DEVEL FD"
2165909,"","","GRACE UMC","GRACE UMC PIPE ORGAN MAINTENANCE FUND",18026.61,16276.88,DIVERSIFIE
2165909,"","","GRACE UMC","GRACE UMC FINE FUND",78590.83,68666.73,DIVERSIFIE
